FIPS,e2016_votediff,e2016_rep_winner,e2016_dem_winner,e2016_rep_vote,e2016_dem_vote
18129,4883,true,false,8404,3521
18131,2527,true,false,3854,1327
18133,7281,true,false,10637,3356
18135,5071,true,false,7517,2446
18137,7335,true,false,9806,2471
18139,3767,true,false,5292,1525
18141,231,false,true,52021,52252
18143,3432,true,false,6074,2642
18145,8471,true,false,12718,4247
18147,3711,true,false,6572,2861
18149,3878,true,false,6367,2489
18151,6389,true,false,10133,3744
18153,4025,true,false,6138,2113
18155,1628,true,false,2558,930
18157,3486,true,false,30768,27282
18159,4002,true,false,5589,1587
18161,1730,true,false,2445,715
18163,11966,true,false,40496,28530
18165,2432,true,false,4513,2081
18167,6006,true,false,21937,15931
18169,6803,true,false,9821,3018
18171,2059,true,false,2898,839
18173,10027,true,false,19113,9086
18175,5573,true,false,8209,2636
18177,7706,true,false,16028,8322
18179,7419,true,false,10005,2586
18181,4303,true,false,6893,2590
18183,7979,true,false,11358,3379
19001,1328,true,false,2461,1133
19003,830,true,false,1395,565
19005,1672,true,false,4093,2421
19007,2219,true,false,4033,1814
19009,1056,true,false,2136,1080
19011,3554,true,false,8232,4678
19013,4757,false,true,27476,32233
19015,1943,true,false,7484,5541
19017,1852,true,false,7208,5356
19019,1540,true,false,5510,3970
19021,2047,true,false,4903,2856
19023,2764,true,false,4921,2157
19025,2070,true,false,3468,1398
19027,3329,true,false,6638,3309
19029,2810,true,false,4761,1951
19031,1696,true,false,5295,3599
19033,1759,true,false,11621,9862
19035,2513,true,false,4192,1679
19037,1476,true,false,3742,2266
19039,1248,true,false,2713,1465
19041,3628,true,false,5877,2249
19043,2080,true,false,5317,3237
19045,1181,true,false,11276,10095
19047,2626,true,false,4617,1991
19049,3638,true,false,19339,15701
19051,1746,true,false,2723,977
19053,1095,true,false,2296,1201
19055,2737,true,false,5694,2957
19057,1317,true,false,9529,8212
19059,3697,true,false,6753,3056
19061,610,true,false,23460,22850
19063,1767,true,false,3124,1357
19065,1931,true,false,5620,3689
19067,1196,true,false,4375,3179
19069,1670,true,false,3163,1493
19071,1444,true,false,2407,963
19073,1129,true,false,2820,1691
19075,2671,true,false,4527,1856
19077,1896,true,false,3628,1732
19079,1737,true,false,4463,2726
19081,2390,true,false,3977,1587
19083,2467,true,false,5254,2787
19085,2771,true,false,4902,2131
19087,2875,true,false,5779,2904
19089,934,true,false,2611,1677
19091,2316,true,false,3568,1252
19093,1863,true,false,2655,792
19095,2121,true,false,5205,3084
19097,1987,true,false,5824,3837
19099,3451,true,false,10560,7109
19101,38,true,false,3748,3710
19103,29156,false,true,21044,50200
19105,1933,true,false,5720,3787
19107,2048,true,false,3390,1342
19109,3110,true,false,5653,2543
19111,2588,true,false,8803,6215
19113,10545,false,true,48390,58935
19115,1421,true,false,3069,1648
19117,1638,true,false,2877,1239
19119,4272,true,false,5192,920
19121,2682,true,false,5360,2678
19123,4813,true,false,7432,2619
19125,5480,true,false,10962,5482
19127,1494,true,false,9146,7652
19129,2977,true,false,5067,2090
19131,1302,true,false,3190,1888
19133,1873,true,false,3120,1247
19135,1582,true,false,2638,1056
19137,2122,true,false,3436,1314
19139,1216,true,false,9584,8368
19141,4437,true,false,5752,1315
19143,1979,true,false,2531,552
19145,3086,true,false,4893,1807
19147,1683,true,false,3081,1398
