FIPSCode,Jurisdiction_Name,State_Abbr,A1a,A1b,A9a,A9b,A9c,A9d,A9e,A9f,A9g
5175000000,RADFORD CITY,VA,10284,9419,3021,2631,147,20,179,1,4
5176000000,RICHMOND CITY,VA,154358,141063,35885,27415,2444,449,5349,29,150
5177000000,ROANOKE CITY,VA,62194,56092,12974,7531,1634,234,3470,13,64
5177500000,SALEM CITY,VA,17029,16077,3360,2245,460,29,412,1,204
5179000000,STAUNTON CITY,VA,16446,15419,3525,2271,442,75,710,5,11
5180000000,SUFFOLK CITY,VA,62897,58524,9068,6212,1097,159,1430,14,131
5181000000,VIRGINIA BEACH CITY,VA,307399,279744,45265,25713,4766,531,13775,35,339
5182000000,WAYNESBORO CITY,VA,13360,12569,2917,1986,334,38,548,5,3
5183000000,WILLIAMSBURG CITY,VA,10861,9445,4720,3357,168,13,1149,2,23
5184000000,WINCHESTER CITY,VA,16533,15152,3702,2526,309,40,539,4,278
5300100000,ADAMS COUNTY,WA,7404,6770,840,23,101,10,267,0,46
5300300000,ASOTIN COUNTY,WA,17555,14554,1186,320,70,39,0,0,35
5300500000,BENTON COUNTY,WA,122352,110281,3974,8,1542,158,0,0,12
5300700000,CHELAN COUNTY,WA,48483,45039,5173,184,214,98,1013,0,62
5300900000,CLALLAM COUNTY,WA,57335,52674,7655,272,741,104,1889,0,747
5301100000,CLARK COUNTY,WA,317474,282976,27119,241,1461,346,1427,0,515
5301300000,COLUMBIA COUNTY,WA,2929,2728,610,44,25,8,209,0,1
5301500000,COWLITZ COUNTY,WA,71532,64613,11557,37,844,249,4149,1,13
5301700000,DOUGLAS COUNTY,WA,23832,21969,1055,185,298,43,0,0,33
5301900000,FERRY COUNTY,WA,4973,4671,1256,23,69,11,459,0,72
5302100000,FRANKLIN COUNTY,WA,41629,35172,3169,1619,513,78,0,0,107
5302300000,GARFIELD COUNTY,WA,1900,1657,93,4,33,2,0,0,12
5302500000,GRANT COUNTY,WA,43352,40637,10359,6,760,54,3049,0,11
5302700000,GRAYS HARBOR COUNTY,WA,46639,42791,10488,20,621,139,3808,0,7
5302900000,ISLAND COUNTY,WA,62638,56044,9042,1136,648,52,2535,0,91
5303100000,JEFFERSON COUNTY,WA,28117,25411,2399,10,374,17,453,0,7
5303300000,KING COUNTY,WA,1437900,1294184,145611,2066,14120,1048,43503,0,102
5303500000,KITSAP COUNTY,WA,188243,168827,39015,1674,1952,235,13768,0,528
5303700000,KITTITAS COUNTY,WA,28669,25836,4969,371,153,46,1761,0,43
5303900000,KLICKITAT COUNTY,WA,15725,14341,3718,115,140,39,1243,0,313
5304100000,LEWIS COUNTY,WA,52381,47568,4810,230,337,139,1157,0,11
5304300000,LINCOLN COUNTY,WA,7163,7163,885,146,99,11,121,0,60
5304500000,MASON COUNTY,WA,42851,39206,4600,4,492,104,1335,0,29
5304700000,OKANOGAN COUNTY,WA,25114,23051,2831,145,228,45,757,0,174
5304900000,PACIFIC COUNTY,WA,16623,14724,888,3,216,35,0,0,2
5305100000,PEND OREILLE COUNTY,WA,10885,9098,478,0,182,12,0,0,2
5305300000,PIERCE COUNTY,WA,561428,499164,44555,455,5930,1012,0,2,34
5305500000,SAN JUAN COUNTY,WA,14094,13392,1317,4,89,10,325,0,3
5305700000,SKAGIT COUNTY,WA,82638,75699,9622,503,644,111,2802,0,406
